Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n626,n626,head,33,76.0,5.0,0.4233759388588747,3.187769196855477E-4,4.4977115E-4,4.4977115E-4,3,3.7119798656253943E-4,0,0.3333333333333333,176,0.06870023177417522
n627,n627,Thinking,10,20.0,5.0,0.4001743679163034,6.335416370167636E-5,1.4551419E-4,1.4551419E-4,10,1.4707089162182014E-4,0,0.6444444444444445,29,0.030583976457734457
n628,n628,Kaleb,5,10.0,5.0,0.3947174447174447,0.0,7.937138E-5,7.937138E-5,10,8.679329538663169E-5,0,1.0,10,0.023393101869851916
n629,n629,Land,7,14.0,5.0,0.3360878661087866,0.0,1.05828505E-4,1.05828505E-4,3,1.0523433310748746E-4,0,1.0,21,0.006789293265904951
n630,n630,free,32,80.0,5.0,0.40862266310568485,2.2505942487392624E-4,4.3654258E-4,4.3654258E-4,10,3.849608036293497E-4,0,0.28225806451612906,140,0.049192472207642404
n631,n631,Home,25,50.0,5.0,0.38091286307053945,3.17586765609949E-4,3.4394264E-4,3.4394264E-4,0,3.057520844670823E-4,0,0.29,87,0.03655305416499454
n632,n632,brave,12,24.0,5.0,0.3854829034193162,3.761429197882448E-5,1.7197132E-4,1.7197132E-4,3,1.4139519420795408E-4,0,0.6060606060606061,40,0.03150658715746291
n633,n633,You,99,225.0,4.0,0.4666666666666667,8.333956136179764E-4,0.0013228563,0.0013228563,3,8.757713216656438E-4,0,0.2803545660688518,1360,0.2125337886520572
n634,n634,mess,42,96.0,4.0,0.4327272727272728,3.114099746534976E-4,5.688282E-4,5.688282E-4,0,4.0743342408944413E-4,0,0.3716608594657375,320,0.09647391613430385
n635,n635,ruin,16,38.0,5.0,0.38364179104477614,4.930145818873335E-4,2.2488557E-4,2.2488557E-4,3,2.1146878666540884E-4,0,0.4666666666666667,56,0.039050551360558856
n636,n636,Everyone,54,158.0,5.0,0.4563272262462718,0.002939599519581356,7.2757096E-4,7.2757096E-4,2,6.942804739831858E-4,0,0.469601677148847,672,0.15923085799932837
n637,n637,money,71,155.0,5.0,0.44761772081359713,7.579311400139313E-4,9.5245655E-4,9.5245655E-4,2,6.908658311046939E-4,0,0.26680080482897384,663,0.13505275285027776
n638,n638,newcomer,21,42.0,5.0,0.41171194259354177,1.4037480305239408E-5,2.9102838E-4,2.9102838E-4,2,1.950508029717086E-4,0,0.680952380952381,143,0.06935555227743814
n639,n639,freaking,14,30.0,5.0,0.40349114655280677,2.798456075116886E-6,1.9842845E-4,1.9842845E-4,0,1.5196662394713334E-4,0,0.6263736263736264,57,0.04476993718443729
