Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n90,n90,Loved,60,129.0,4.0,0.4382862971778307,0.005472442445821061,3,0.0022300931882522235,0,0.2214689265536723,392,0.23220180193247167
n91,n91,do,109,281.0,4.0,0.48458646616541357,0.030759324641516733,29,0.005092492524738217,0,0.12623173632347945,743,0.33403267910936585
n92,n92,make,66,159.0,4.0,0.455638034641216,0.0058181838035860954,7,0.002869840231494587,0,0.20046620046620048,430,0.25759271912030524
n93,n93,anymore,3,12.0,4.0,0.340554821664465,0.0,7,2.95823017140414E-4,0,1.0,3,0.015761209539799485
n94,n94,sad,13,27.0,4.0,0.40688131313131315,1.699975390637182E-4,0,5.398162246642835E-4,0,0.5897435897435898,46,0.09330724358439692
n95,n95,recently,6,12.0,5.0,0.3551942683934968,0.0,0,2.9627958779333623E-4,0,1.0,15,0.03921140694266066
n96,n96,truly,39,90.0,4.0,0.4464842396951853,0.002160226183252147,0,0.0015774937739966072,0,0.3090418353576248,229,0.1901172914227757
n97,n97,wet,6,12.0,5.0,0.3551942683934968,0.0,0,2.962795877933363E-4,0,1.0,15,0.039211406942660655
n98,n98,other,34,270.0,4.0,0.42179319371727747,0.0019416772321635908,10,0.003460850786634157,0,0.3083778966131907,173,0.15073842226183998
n99,n99,am,18,36.0,5.0,0.3649490373725934,9.543111768603187E-4,5,7.96653567436274E-4,0,0.26143790849673204,40,0.05362994236822289
n100,n100,Everyman,5,10.0,5.0,0.3171751968503937,0.0,5,3.434176985723842E-4,0,1.0,10,0.007277001427060967
n101,n101,rescue,5,10.0,5.0,0.3171751968503937,0.0,5,3.434176985723842E-4,0,1.0,10,0.007277001427060969
n102,n102,Sure,5,10.0,5.0,0.3171751968503937,0.0,5,3.434176985723842E-4,0,1.0,10,0.007277001427060969
n103,n103,long,49,122.0,4.0,0.44850382741823247,0.004812004312917343,1,0.0020805942334700617,0,0.342687074829932,403,0.2577968271876314
n104,n104,enough,9,18.0,5.0,0.3458545747249799,2.3997035062552912E-4,5,4.8691790964425663E-4,0,0.4722222222222222,17,0.023119608579731485
n105,n105,scene,33,77.0,4.0,0.39882425742574257,7.898998883341978E-4,0,0.0013684607268273196,0,0.3371212121212121,178,0.12738880733288638
n106,n106,The,56,123.0,4.0,0.43993174061433443,0.0036173407908495474,0,0.0021704853130246195,0,0.22792207792207791,351,0.21473136563347484
n107,n107,whole,42,96.0,4.0,0.434006734006734,0.004682060187934562,1,0.0017053678571365826,0,0.2775842044134727,239,0.1879508156287687
n108,n108,audience,9,18.0,4.0,0.3610644257703081,0.0,0,3.9929430720502776E-4,0,1.0,36,0.05217767559169881
n109,n109,silent,14,30.0,4.0,0.3728666473821233,4.028858949242275E-5,0,5.944182497877725E-4,0,0.6593406593406593,60,0.06801701346160892
n110,n110,awe,15,30.0,4.0,0.375254730713246,0.00173586567232463,0,7.547028609417677E-4,0,0.49523809523809526,52,0.06879775710362744
n111,n111,emotional,9,20.0,4.0,0.372005772005772,4.927611119531441E-6,0,4.1353344388509296E-4,0,0.8888888888888888,32,0.05786203261149338
n112,n112,never,52,151.0,4.0,0.44928546531892644,0.0036043171606644593,0,0.0024301263871356078,0,0.22473604826546004,298,0.21684224077331504
n113,n113,cry,60,154.0,4.0,0.4457123098201936,0.004448242909147777,7,0.0026652660740567337,0,0.21977401129943502,389,0.24287693264256524
n114,n114,back,51,118.0,4.0,0.4325503355704698,0.005849387028820409,18,0.002104261641391745,0,0.24,306,0.18845224478844738
n115,n115,seeing,77,160.0,4.0,0.4580668088130775,0.008522255326624104,1,0.002831124942751364,0,0.17088174982911825,500,0.2756528444892916
n116,n116,absolutely,57,141.0,4.0,0.44959888385071506,0.002191425181892783,0,0.002289029281111976,0,0.2907268170426065,464,0.26607235471935803
n117,n117,outstanding,40,92.0,4.0,0.4434124527003784,0.005469182815074364,0,0.0017415001549013986,0,0.34487179487179487,269,0.20783524195368736
n118,n118,If,25,54.0,4.0,0.40585642317380355,2.736585836634241E-4,29,9.364843711537005E-4,0,0.5,150,0.11287481051723175
n119,n119,anything,22,46.0,4.0,0.4057286748504879,1.4350224533615593E-4,4,7.921015985438607E-4,0,0.6103896103896104,141,0.11531159106826368
n120,n120,else,25,51.0,4.0,0.40155763239875386,3.4883572201989475E-4,1,8.94604463750745E-4,0,0.43666666666666665,131,0.11370049491607809
n121,n121,rest,20,41.0,4.0,0.40130759651307596,2.587070308818176E-4,3,7.615955448007269E-4,0,0.5578947368421052,106,0.0957041509158058
n122,n122,year,62,133.0,4.0,0.4535538353272343,0.00514071108109899,0,0.0022863729558685116,0,0.21840296139608673,413,0.2508348792265627
n123,n123,yesterday,7,15.0,4.0,0.3916742631419021,9.905174601138263E-7,1,3.313828877953431E-4,0,0.8571428571428571,18,0.059304427388023856
n124,n124,amaze,14,29.0,4.0,0.3907244619581691,1.978557182549224E-4,0,5.987488900806938E-4,0,0.6153846153846154,56,0.05547715822063312
n125,n125,draw,6,12.0,4.0,0.3793407886992349,0.0,5,3.029246033118408E-4,0,1.0,15,0.03449898214107569
n126,n126,I,90,208.0,4.0,0.4645045045045045,0.009094755024556554,11,0.0035358164622132705,0,0.16404494382022472,657,0.3127767852773137
n127,n127,lifeboat,17,35.0,4.0,0.41248,1.0264612763267386E-4,1,6.72130461114916E-4,0,0.6544117647058824,89,0.10164571054476011
n128,n128,Irish,20,44.0,4.0,0.40080845771144274,0.0010028556717265416,5,9.09181403568623E-4,0,0.33157894736842103,63,0.0778491894433014
n129,n129,show,9,18.0,4.0,0.3619769727604606,6.342466971933781E-4,1,4.602378324195296E-4,0,0.6111111111111112,22,0.04083030702197216
